Clinic Name,URL,Street Address,Phone,Error
Bamaga Primary Health Care Centre,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/bamaga-primary-health-care-centre,"175 Adidi St
Bamaga Qld 4876 | 175 Adidi St
Bamaga Qld 4876",07 4069 3200,
Baralaba Multipurpose Health Service,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/baralaba-multipurpose-health-service,"Stopford St
Baralaba Qld 4702 | Stopford St
Baralaba Qld 4702",07 4998 2800,
Barcaldine Medical Centre,https://www.centralwest.health.qld.gov.au/hospitals-and-health-centres/barcaldine-medical-centre,"36 Ash St
Barcaldine Qld 4725 | 36 Ash St
Barcaldine Qld 4725",07 4650 4100,
Barcaldine Multipurpose Health Service,https://www.centralwest.health.qld.gov.au/hospitals-and-health-centres/barcaldine-multipurpose-health-service,"Oak St (Capricorn Highway)
Barcaldine Qld 4725 | Oak St (Capricorn Highway)
Barcaldine Qld 4725","07 4650 4000, 07 4650 4033, 4650 4000",
Bayside Addiction and Mental Health Centre,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/bayside-addiction-and-mental-health-centre,"2A Weippin Street, Cleveland Qld 4163",07 3078 2120,
Beaudesert Hospital,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/beaudesert-hospital,"64 Tina Street, Beaudesert Qld 4285",07 5541 9199,"HTTPSConnectionPool(host='www.metrosouth.health.qld.gov.au', port=443): Read timed out. (read timeout=10)"
Bedourie Primary Health Care Centre,https://www.centralwest.health.qld.gov.au/hospitals-and-health-centres/bedourie-primary-health-centre,"Kepler St
Bedourie Qld 4829 | Kepler St
Bedourie Qld 4829",07 4746 1500,
Beenleigh Community Health Centre,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/beenleigh-community-health-centre,"10-18 Mount Warren Boulevard, Mount Warren Park Qld 4207",07 3827 9811,
Biggenden Multipurpose Health Service,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/biggenden-multipurpose-health-service,"57 Alice St
Biggenden Qld 4621 | 57 Alice St
Biggenden Qld 4621",07 4127 6400,
Biloela Hospital,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/biloela-hospital,"2 Hospital Rd
Biloela Qld 4715 | 2 Hospital Rd
Biloela Qld 4715","07 4992 7000, 0473 246 176",
Birdsville Primary Health Centre,https://www.centralwest.health.qld.gov.au/hospitals-and-health-centres/birdsville-primary-health-centre,"31 Adelaide St
Birdsville Qld 4482 | 31 Adelaide St
Birdsville Qld 4482",07 4564 2400,
Blackall General Practice,https://www.centralwest.health.qld.gov.au/hospitals-and-health-centres/blackall-general-practice,"189a Landsborough Hwy
Blackall Qld 4472 | 189a Landsborough Hwy
Blackall Qld 4472",07 4657 8200,
Blackall Hospital,https://www.centralwest.health.qld.gov.au/hospitals-and-health-centres/blackall-hospital,"189 Landsborough Hwy
Blackall Qld 4472 | 189 Landsborough Hwy
Blackall Qld 4472","07 4650 7700, 07 4650 7700, 0417 120 717",
Blackwater Multipurpose Health Service,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/blackwater-multipurpose-health-service,"41 Mackenzie St
Blackwater Qld 4717 | 41 Mackenzie St
Blackwater Qld 4717",07 4980 1800,
Boigu Island Primary Health Care Centre,https://www.torres-cape.health.qld.gov.au/hospitals-and-health-centres/boigu-primary-health-care-centre,"Chambers Street
Boigu Island Qld 4875 | Chambers Street
Boigu Island Qld 4875",07 4069 4153,
Bollon Community Clinic,https://www.southwest.health.qld.gov.au/hospitals-and-health-centres/bollon-community-clinic,"37 Main St
Bollon Qld 4488 | 37 Main St
Bollon Qld 4488",07 4625 6105,
Boonah Hospital,https://www.westmoreton.health.qld.gov.au/location/boonah-health,es at West Moreton Health. Phone 07 5463 3300 Hospital address 11-17 Leonard Street Boonah QLD 4310 Australia Postal Address PO Box 93 Boonah QLD 4310,3810 1111,
Boulia Primary Health Centre and Well-being Centre,https://www.centralwest.health.qld.gov.au/hospitals-and-health-centres/boulia-primary-health-centre-and-well-being-centre,"49 Wills St
Boulia Qld 4829 | 49 Wills St
Boulia Qld 4829",07 4746 2300,
Bowen Hospital,http://www.mackay.health.qld.gov.au/your-hospitals/bowen-hospital,86 3188 Bowen Dental Clinic P (07) 4786 8261 E MKY_Dental@health.qld.gov.au Address 61-65 Gregory Street Bowen QLD 4805 Mail PO Box 808 Bowen QLD 4805,"4786 8222, 4786 8261, 4786 3188",
